GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
420,278,entrepreneur.com,com,33490,72613,entrepreneur.com,com,418,276,33530,72410
421,279,constantcontact.com,com,33416,71602,constantcontact.com,com,421,279,33359,71291
422,280,dropcatch.com,com,33303,62296,dropcatch.com,com,426,281,33226,62209
423,16,ed.gov,gov,33291,68733,ed.gov,gov,422,16,33289,68549
424,20,si.edu,edu,33289,68370,si.edu,edu,423,20,33248,68022
425,51,eff.org,org,33275,58327,eff.org,org,427,52,33132,57988
426,281,addthis.com,com,33265,62450,addthis.com,com,425,280,33226,62378
427,52,acs.org,org,33247,64909,acs.org,org,424,51,33237,64671
428,53,wiktionary.org,org,33172,69418,wiktionary.org,org,430,54,33052,69135
429,282,stumbleupon.com,com,33117,71566,stumbleupon.com,com,428,282,33081,71415
430,54,aboutcookies.org,org,33072,71837,aboutcookies.org,org,429,53,33063,71590
431,1,gob.mx,mx,32974,65415,gob.mx,mx,433,1,32937,65155
432,283,auctollo.com,com,32938,79850,auctollo.com,com,431,283,32990,79917
433,21,utexas.edu,edu,32937,62343,utexas.edu,edu,432,21,32940,62102
434,22,uchicago.edu,edu,32926,65179,uchicago.edu,edu,434,22,32831,64887
435,284,arstechnica.com,com,32811,65278,arstechnica.com,com,436,285,32714,64914
436,285,walmart.com,com,32728,77720,walmart.com,com,435,284,32768,77432
437,17,nist.gov,gov,32625,58761,nist.gov,gov,439,17,32493,58480
438,286,gartner.com,com,32614,60467,gartner.com,com,438,287,32588,60139
439,287,jamanetwork.com,com,32585,68975,jamanetwork.com,com,437,286,32608,68539
440,288,webs.com,com,32556,61861,webs.com,com,440,288,32428,61604
441,289,ikea.com,com,32474,67121,ikea.com,com,443,291,32402,66551
442,290,medicalnewstoday.com,com,32359,77739,medicalnewstoday.com,com,441,289,32411,77480
443,291,wpengine.com,com,32304,69532,wpengine.com,com,442,290,32410,69333
444,23,uiuc.edu,edu,32267,49935,uiuc.edu,edu,444,23,32199,49852
445,5,people.com.cn,cn,32100,85305,people.com.cn,cn,445,5,32146,85380
446,292,aliexpress.com,com,32043,63674,aliexpress.com,com,446,292,32039,63583
447,1,admin.ch,ch,32027,66005,admin.ch,ch,449,1,31949,65455
448,18,bls.gov,gov,32005,69209,bls.gov,gov,447,18,31997,68966
449,1,yahoo.co.jp,jp,31976,87944,yahoo.co.jp,jp,448,1,31972,87540
450,55,postgresql.org,org,31919,48977,postgresql.org,org,452,55,31832,48871
451,293,photobucket.com,com,31918,61980,photobucket.com,com,454,294,31790,61743
452,294,nvidia.com,com,31898,59213,nvidia.com,com,453,293,31797,58998
453,19,house.gov,gov,31850,69048,house.gov,gov,451,19,31852,68738
454,10,azurewebsites.net,net,31772,59190,azurewebsites.net,net,450,10,31916,59091
455,3,canada.ca,ca,31646,70451,canada.ca,ca,455,3,31554,69899
456,295,box.com,com,31637,58695,box.com,com,464,300,31195,57677
457,296,slate.com,com,31585,68406,slate.com,com,457,295,31492,67986
458,20,census.gov,gov,31584,66734,census.gov,gov,456,20,31552,66468
459,297,hilton.com,com,31567,60159,hilton.com,com,459,297,31414,59734
460,298,matterport.com,com,31547,58503,matterport.com,com,458,296,31485,58188
461,299,uk.com,com,31401,64504,uk.com,com,460,298,31260,64234
462,300,feeds.feedburner.com,com,31302,66249,feeds.feedburner.com,com,462,299,31234,66143
463,11,windows.net,net,31284,59574,windows.net,net,461,11,31247,59153
464,56,coursera.org,org,31265,61717,coursera.org,org,463,56,31234,61447
465,3,google.fr,fr,31011,67901,google.fr,fr,471,3,30791,66944
466,301,indiegogo.com,com,31006,62866,indiegogo.com,com,467,301,30926,62488
467,21,hhs.gov,gov,30979,65226,hhs.gov,gov,465,21,31031,65066
468,4,google.ca,ca,30946,69816,google.ca,ca,468,4,30866,69544
469,22,usgs.gov,gov,30918,61474,usgs.gov,gov,466,22,30932,61270
470,302,stackexchange.com,com,30842,59689,stackexchange.com,com,470,303,30804,59552
471,303,techtarget.com,com,30805,62927,techtarget.com,com,469,302,30840,62727
472,57,unicef.org,org,30786,58839,unicef.org,org,472,57,30718,58347
473,304,elpais.com,com,30682,66578,elpais.com,com,474,305,30602,66022
474,5,qc.ca,ca,30574,61638,qc.ca,ca,478,5,30370,61221
475,1,anchor.fm,fm,30573,62122,anchor.fm,fm,475,1,30538,61843
476,305,shutterstock.com,com,30561,65592,shutterstock.com,com,473,304,30617,65446
477,306,slack.com,com,30488,58015,slack.com,com,476,306,30463,57545
478,12,doubleclick.net,net,30411,61278,doubleclick.net,net,477,12,30407,60954
479,307,netscape.com,com,30375,46729,netscape.com,com,481,308,30322,46659
480,23,senate.gov,gov,30370,65056,senate.gov,gov,479,23,30346,64731
481,308,teamviewer.com,com,30332,53469,teamviewer.com,com,482,309,30231,53147
482,309,getpocket.com,com,30309,80879,getpocket.com,com,480,307,30336,80884
483,310,wikia.com,com,30262,59064,wikia.com,com,483,310,30147,58751
484,3,spiegel.de,de,30250,67529,spiegel.de,de,484,3,30123,66850
485,24,nyu.edu,edu,30173,59275,nyu.edu,edu,485,24,30090,59032
486,311,sfgate.com,com,30056,67194,sfgate.com,com,487,312,30013,66897
487,312,globenewswire.com,com,30018,63962,globenewswire.com,com,486,311,30045,63711
488,313,w3schools.com,com,29982,55673,w3schools.com,com,489,313,29912,55648
489,314,barnesandnoble.com,com,29920,67441,barnesandnoble.com,com,492,315,29873,67173
490,315,trello.com,com,29891,59701,trello.com,com,493,316,29860,59465
491,11,www.nhs.uk,uk,29875,70406,www.nhs.uk,uk,488,11,29913,70038
492,316,howstuffworks.com,com,29867,63230,howstuffworks.com,com,491,314,29879,62959
493,317,livescience.com,com,29860,64490,livescience.com,com,494,317,29859,64135
494,58,kernel.org,org,29853,45731,kernel.org,org,496,59,29804,45676
495,318,bizjournals.com,com,29811,64585,bizjournals.com,com,495,318,29805,64268
496,1,google.es,es,29801,72166,google.es,es,504,1,29652,71786
497,59,bbb.org,org,29794,70606,bbb.org,org,490,58,29911,70617
498,319,chicagotribune.com,com,29792,64860,chicagotribune.com,com,500,320,29751,64531
499,320,getbootstrap.com,com,29787,50638,getbootstrap.com,com,499,319,29761,50602
500,2,itu.int,int,29770,46725,itu.int,int,497,2,29788,46559
501,60,mitre.org,org,29747,46154,mitre.org,org,501,60,29729,46034
502,12,mirror.co.uk,uk,29734,65428,mirror.co.uk,uk,498,12,29768,64969
503,321,withgoogle.com,com,29716,56150,withgoogle.com,com,503,321,29699,55846
504,13,ico.org.uk,uk,29657,71882,ico.org.uk,uk,502,13,29699,71613
505,6,m.me,me,29639,70797,m.me,me,505,6,29616,70711
506,322,naver.com,com,29601,66831,naver.com,com,507,323,29578,66653
507,323,jd.com,com,29552,58863,jd.com,com,506,322,29607,58935
508,324,qz.com,com,29543,60933,qz.com,com,509,325,29529,60565
509,2,cutt.ly,ly,29501,66891,cutt.ly,ly,512,2,29451,66811
510,325,so.com,com,29482,90090,so.com,com,508,324,29560,90300
511,14,thetimes.co.uk,uk,29470,63502,thetimes.co.uk,uk,511,14,29452,63257
512,61,acm.org,org,29462,50587,acm.org,org,517,61,29313,50313
513,25,purdue.edu,edu,29444,56678,purdue.edu,edu,516,25,29321,56439
514,326,ssrn.com,com,29442,57705,ssrn.com,com,514,327,29429,57452
515,2,smh.com.au,au,29416,61445,smh.com.au,au,515,2,29373,60981
516,2,google.co.jp,jp,29402,97557,google.co.jp,jp,510,2,29461,97398
517,327,bitly.com,com,29359,52962,bitly.com,com,513,326,29436,52997
518,62,moodle.org,org,29238,44745,moodle.org,org,520,62,29137,44678
519,328,pcmag.com,com,29226,60568,pcmag.com,com,518,328,29158,60361
520,329,variety.com,com,29149,66338,variety.com,com,519,329,29138,65855
521,330,aljazeera.com,com,29134,62930,aljazeera.com,com,521,330,29136,62608
522,24,sec.gov,gov,29111,59491,sec.gov,gov,522,24,29121,59201
523,331,gotowebinar.com,com,29079,46400,gotowebinar.com,com,526,332,28880,46045
524,1,govt.nz,nz,29015,58165,govt.nz,nz,523,1,29003,57782
525,332,rollingstone.com,com,28978,65546,rollingstone.com,com,525,331,28925,65146
526,3,amazon.co.jp,jp,28963,75743,amazon.co.jp,jp,524,3,28932,75346
527,63,nejm.org,org,28904,55853,nejm.org,org,527,63,28848,55582
528,333,office365.com,com,28788,47265,office365.com,com,534,336,28588,46879
529,15,thesun.co.uk,uk,28772,63191,thesun.co.uk,uk,529,15,28773,62776
530,334,zhihu.com,com,28756,49640,zhihu.com,com,528,333,28796,49603
531,13,earthlink.net,net,28679,45821,earthlink.net,net,533,13,28597,45784
532,335,appspot.com,com,28662,52459,appspot.com,com,530,334,28655,52214
533,336,politico.com,com,28651,62367,politico.com,com,531,335,28648,62057
534,337,airbnb.com,com,28623,61096,airbnb.com,com,535,337,28557,60630
535,338,vmware.com,com,28592,48837,vmware.com,com,536,338,28535,48712
536,6,miitbeian.gov.cn,cn,28587,71637,miitbeian.gov.cn,cn,532,6,28608,71677
537,2,g.co,co,28583,59012,g.co,co,539,2,28508,58795
538,1,google.it,it,28507,63214,google.it,it,540,1,28420,63099
539,339,pwc.com,com,28494,53046,pwc.com,com,538,340,28521,52742
540,340,gallup.com,com,28480,58139,gallup.com,com,537,339,28533,57821
541,26,usc.edu,edu,28456,54783,usc.edu,edu,544,26,28379,54536
542,64,openssl.org,org,28443,41044,openssl.org,org,542,64,28393,41020
543,6,on.ca,ca,28434,57178,on.ca,ca,543,6,28386,57031
